agent_type,placement_method,game_id,agent_won,turns,agent_hits,agent_sunk,player_hits,player_sunk
random,random,0,true,94,17,5,16,4
random,random,1,false,96,16,4,17,5
random,random,2,false,99,16,4,17,5
random,random,3,true,97,17,5,14,3
random,random,4,false,89,15,3,17,5
random,random,5,false,96,15,4,17,5
random,random,6,true,95,17,5,16,4
random,random,7,true,94,17,5,15,3
random,random,8,false,88,15,3,17,5
random,random,9,true,94,17,5,14,2
random,random,10,false,96,16,4,17,5
random,random,11,true,92,17,5,16,4
random,random,12,true,94,17,5,16,4
random,random,13,true,83,17,5,15,3
random,random,14,false,93,15,3,17,5
random,random,15,false,92,14,2,17,5
random,random,16,false,94,15,3,17,5
random,random,17,false,99,16,4,17,5
random,random,18,true,89,17,5,16,4
random,random,19,false,99,16,4,17,5
random,random,20,false,96,16,4,17,5
random,random,21,false,91,15,3,17,5
random,random,22,true,93,17,5,15,3
random,random,23,true,97,17,5,16,4
random,random,24,true,95,17,5,16,4
random,random,25,true,94,17,5,16,4
random,random,26,false,92,16,4,17,5
random,random,27,false,96,16,4,17,5
random,random,28,true,83,17,5,13,2
random,random,29,true,89,17,5,16,4
random,random,30,true,90,17,5,14,2
random,random,31,true,95,17,5,16,4
random,random,32,true,94,17,5,16,4
random,random,33,false,94,16,4,17,5
random,random,34,false,97,16,4,17,5
random,random,35,false,77,11,1,17,5
random,random,36,true,87,17,5,15,3
random,random,37,true,96,17,5,15,3
random,random,38,true,97,17,5,16,4
random,random,39,true,92,17,5,16,4
random,random,40,false,95,16,4,17,5
random,random,41,false,91,16,4,17,5
random,random,42,false,90,16,4,17,5
random,random,43,true,98,17,5,16,4
random,random,44,true,94,17,5,14,2
random,random,45,true,91,17,5,14,2
random,random,46,false,96,16,4,17,5
random,random,47,false,95,16,4,17,5
random,random,48,true,94,17,5,16,4
random,random,49,false,97,15,3,17,5
random,random,50,true,97,17,5,16,4
random,random,51,false,98,16,4,17,5
random,random,52,false,96,16,4,17,5
random,random,53,true,99,17,5,16,4
random,random,54,false,69,12,2,17,5
random,random,55,false,99,16,4,17,5
random,random,56,true,92,17,5,14,2
random,random,57,false,93,13,2,17,5
random,random,58,true,94,17,5,13,1
random,random,59,false,96,15,3,17,5
random,random,60,true,86,17,5,15,4
random,random,61,false,95,16,4,17,5
random,random,62,false,95,15,3,17,5
random,random,63,false,95,15,3,17,5
random,random,64,false,99,16,4,17,5
random,random,65,false,99,16,4,17,5
random,random,66,true,98,17,5,16,4
random,random,67,false,97,16,4,17,5
random,random,68,true,92,17,5,16,4
random,random,69,false,86,14,3,17,5
random,random,70,true,97,17,5,16,4
