episode,epsilon,steps,mean_turns
100,0.297,6837,65.9
200,0.2941,14098,85.0
300,0.2911,22575,78.8
400,0.2882,30252,73.7
500,0.2854,36644,66.4
600,0.2825,42848,74.5
700,0.2797,49377,67.8
800,0.2769,55751,71.8
900,0.2742,62028,71.8
1000,0.2714,68298,60.0
1100,0.2687,74236,62.4
1200,0.2661,80285,63.1
1300,0.2634,86478,66.4
1400,0.2608,92338,65.3
1500,0.2582,98078,53.7
1600,0.2556,103976,59.7
1700,0.2531,109848,61.7
1800,0.2506,115361,57.0
1900,0.2481,120990,55.2
2000,0.2456,126013,50.3
2100,0.2432,131446,48.4
2200,0.2408,136756,48.2
2300,0.2384,141981,48.5
2400,0.236,147099,49.0
2500,0.2336,152216,48.8
2600,0.2313,157298,52.8
2700,0.229,162286,51.3
2800,0.2267,167439,49.1
2900,0.2245,172591,50.2
3000,0.2222,177616,46.1
3100,0.22,182587,47.9
3200,0.2178,187682,51.8
3300,0.2157,192631,48.3
3400,0.2135,197708,48.3
3500,0.2114,202822,48.7
3600,0.2093,207792,50.2
3700,0.2072,212655,49.6
3800,0.2052,217964,51.3
3900,0.2031,223035,49.0
4000,0.2011,228158,46.8
4100,0.1991,233209,46.3
4200,0.1971,238269,50.7
4300,0.1951,243223,50.4
4400,0.1932,248205,48.4
4500,0.1913,253275,49.6
4600,0.1894,258343,46.0
4700,0.1875,263250,45.9
4800,0.1856,268258,47.9
4900,0.1838,273144,47.4
5000,0.182,278047,47.1
5100,0.1801,283044,47.1
5200,0.1784,288019,46.3
5300,0.1766,293161,48.1
5400,0.1748,298123,49.3
5500,0.1731,303069,48.6
5600,0.1714,308204,49.1
5700,0.1697,312984,48.2
5800,0.168,318116,48.2
5900,0.1663,323091,46.8
6000,0.1646,328115,51.2
6100,0.163,332907,49.8
6200,0.1614,337817,47.5
6300,0.1598,342764,46.6
6400,0.1582,347538,46.3
6500,0.1566,352383,48.0
6600,0.1551,357043,49.0
6700,0.1535,361725,47.8
6800,0.152,366705,48.0
6900,0.1505,371765,50.3
7000,0.149,376688,46.3
7100,0.1475,381842,47.5
7200,0.146,386537,48.4
7300,0.1446,391629,46.5
7400,0.1431,396647,47.7
7500,0.1417,401563,49.5
7600,0.1403,406348,47.7
7700,0.1389,411302,46.5
7800,0.1375,416072,46.8
7900,0.1361,421027,47.9
8000,0.1348,425930,47.2
8100,0.1335,430686,48.7
8200,0.1321,435558,50.9
8300,0.1308,440230,47.4
8400,0.1295,445069,46.7
8500,0.1282,450053,47.0
8600,0.1269,455227,48.0
8700,0.1257,460050,47.8
8800,0.1244,465001,44.6
8900,0.1232,469899,48.5
9000,0.122,474561,47.4
9100,0.1208,479577,44.5
9200,0.1196,484519,47.7
9300,0.1184,489314,47.0
9400,0.1172,494032,47.6
9500,0.116,498832,48.1
9600,0.1149,503597,47.6
9700,0.1137,508503,47.7
9800,0.1126,513238,46.4
9900,0.1115,518307,46.1
10000,0.1104,523265,47.9
10100,0.1093,527942,46.6
10200,0.1082,533003,49.1
10300,0.1071,537907,46.1
10400,0.106,542782,46.9
10500,0.105,547441,47.7
10600,0.1039,552347,48.5
10700,0.1029,557045,48.7
10800,0.1019,561850,48.0
10900,0.1009,566727,47.2
11000,0.0999,571569,47.0
11100,0.0989,576359,48.3
11200,0.0979,581153,46.3
11300,0.0969,585911,47.3
11400,0.0959,590589,48.6
11500,0.095,595517,47.0
11600,0.094,600315,48.1
11700,0.0931,605074,48.5
11800,0.0922,609912,46.9
11900,0.0913,614824,46.0
12000,0.0904,619762,47.4
12100,0.0895,624667,47.8
12200,0.0886,629504,45.9
12300,0.0877,634706,48.1
12400,0.0868,639472,47.4
12500,0.0859,644270,46.3
12600,0.0851,649183,47.7
12700,0.0842,654136,50.7
12800,0.0834,658969,49.1
12900,0.0826,663806,45.9
13000,0.0818,668665,51.2
13100,0.0809,673331,47.4
13200,0.0801,678171,46.3
13300,0.0793,683102,46.9
13400,0.0785,688111,47.6
13500,0.0778,692714,48.1
13600,0.077,697599,47.2
13700,0.0762,702506,46.1
13800,0.0755,707385,49.4
13900,0.0747,712270,50.9
14000,0.074,717337,47.7
14100,0.0732,722261,47.0
14200,0.0725,727031,48.3
14300,0.0718,732151,49.3
14400,0.0711,736858,46.6
14500,0.0704,741675,46.4
14600,0.0697,746593,47.6
14700,0.069,751161,46.4
14800,0.0683,755954,47.2
14900,0.0676,760789,48.2
15000,0.0669,765683,48.3
15100,0.0663,770471,48.5
15200,0.0656,774982,49.0
15300,0.065,779921,48.1
15400,0.0643,784601,47.0
15500,0.0637,789635,47.8
15600,0.063,794393,47.3
15700,0.0624,799221,47.8
15800,0.0618,803859,46.0
15900,0.0612,808737,47.6
16000,0.0606,813668,45.3
16100,0.06,818282,48.0
16200,0.0594,822957,47.2
16300,0.0588,827825,46.9
16400,0.0582,832434,48.0
16500,0.0576,837240,47.1
16600,0.057,842005,48.2
16700,0.0565,846768,48.1
16800,0.0559,851570,48.2
16900,0.0554,856194,46.3
17000,0.0548,860780,46.0
17100,0.0543,865773,47.5
17200,0.0537,870581,45.9
17300,0.0532,875179,45.8
17400,0.0527,879809,46.0
17500,0.0521,884733,46.2
17600,0.0516,889466,47.2
17700,0.0511,894368,47.3
17800,0.0506,898926,45.9
17900,0.0501,903680,48.5
18000,0.0496,908347,46.0
18100,0.0491,913004,47.9
18200,0.0486,917806,47.6
18300,0.0481,922569,48.4
18400,0.0476,927310,46.3
18500,0.0472,931947,48.7
18600,0.0467,936679,48.0
18700,0.0462,941337,46.3
18800,0.0458,946393,47.4
18900,0.0453,951347,47.6
19000,0.0449,956101,44.7
19100,0.0444,960933,46.4
19200,0.044,965575,46.4
19300,0.0435,970349,45.6
19400,0.0431,975332,46.6
19500,0.0427,980233,48.1
19600,0.0423,984964,47.6
19700,0.0418,989835,45.6
19800,0.0414,994647,47.4
19900,0.041,999212,47.9
20000,0.0406,1004115,47.8
