agent_type,placement_method,game_id,agent_won,turns,agent_hits,player_hits,agent_sunk,player_sunk
random,random,0,false,86,14,17,2,5
random,random,1,true,92,17,16,5,4
random,random,2,false,89,16,17,4,5
random,random,3,false,99,16,17,4,5
random,random,4,true,93,17,16,5,4
random,random,5,true,89,17,13,5,2
random,random,6,false,97,16,17,4,5
random,random,7,true,100,17,16,5,4
random,random,8,true,99,17,15,5,3
random,random,9,false,92,16,17,4,5
random,random,10,false,84,14,17,3,5
random,random,11,false,98,15,17,3,5
random,random,12,false,96,16,17,4,5
random,random,13,true,89,17,14,5,3
random,random,14,true,93,17,16,5,4
random,random,15,true,89,17,13,5,2
random,random,16,true,99,17,16,5,4
random,random,17,false,93,16,17,4,5
random,random,18,false,80,15,17,4,5
random,random,19,false,90,16,17,4,5
random,random,20,true,91,17,15,5,4
random,random,21,false,97,15,17,4,5
random,random,22,false,89,16,17,4,5
random,random,23,false,91,16,17,4,5
random,random,24,false,99,16,17,4,5
random,random,25,false,99,16,17,4,5
random,random,26,false,97,16,17,4,5
random,random,27,true,94,17,15,5,3
random,random,28,false,95,16,17,4,5
random,random,29,true,84,17,16,5,4
random,random,30,true,86,17,13,5,2
random,random,31,false,97,15,17,4,5
random,random,32,true,97,17,15,5,3
random,random,33,false,91,16,17,4,5
random,random,34,true,97,17,16,5,4
random,random,35,true,96,17,16,5,4
random,random,36,true,94,17,14,5,3
random,random,37,false,95,16,17,4,5
random,random,38,true,93,17,16,5,4
random,random,39,true,89,17,16,5,4
random,random,40,false,84,12,17,2,5
random,random,41,false,96,16,17,4,5
random,random,42,false,91,15,17,3,5
random,random,43,true,97,17,16,5,4
random,random,44,true,90,17,16,5,4
random,random,45,true,94,17,16,5,4
random,random,46,true,99,17,16,5,4
random,random,47,true,92,17,14,5,3
random,random,48,true,95,17,16,5,4
random,random,49,true,95,17,16,5,4
random,random,50,true,95,17,16,5,4
random,random,51,false,90,15,17,3,5
random,random,52,false,94,16,17,4,5
random,random,53,true,98,17,16,5,4
random,random,54,false,90,16,17,4,5
random,random,55,true,96,17,15,5,4
random,random,56,false,76,12,17,2,5
random,random,57,true,98,17,15,5,3
random,random,58,false,89,16,17,4,5
random,random,59,true,100,17,16,5,4
random,random,60,true,90,17,13,5,2
random,random,61,false,86,14,17,3,5
random,random,62,false,96,16,17,4,5
random,random,63,false,97,16,17,4,5
random,random,64,true,93,17,15,5,3
random,random,65,true,87,17,12,5,1
random,random,66,false,90,16,17,4,5
random,random,67,false,97,16,17,4,5
random,random,68,true,82,17,14,5,3
random,random,69,true,92,17,16,5,4
random,random,70,false,89,13,17,2,5
random,random,71,false,93,16,17,4,5
random,random,72,false,94,15,17,4,5
random,random,73,true,93,17,14,5,2
random,random,74,true,97,17,15,5,3
random,random,75,false,99,16,17,4,5
random,random,76,true,92,17,14,5,2
random,random,77,false,99,16,17,4,5
random,random,78,false,97,14,17,4,5
random,random,79,false,96,16,17,4,5
random,random,80,true,99,17,16,5,4
random,random,81,false,96,16,17,4,5
random,random,82,true,89,17,15,5,3
random,random,83,false,95,16,17,4,5
random,random,84,false,96,16,17,4,5
random,random,85,true,94,17,16,5,4
random,random,86,false,94,16,17,4,5
random,random,87,false,97,16,17,4,5
random,random,88,false,96,16,17,4,5
random,random,89,false,90,16,17,4,5
random,random,90,false,89,15,17,3,5
random,random,91,true,90,17,16,5,4
random,random,92,false,90,14,17,3,5
random,random,93,true,96,17,15,5,3
random,random,94,false,93,16,17,4,5
random,random,95,false,91,15,17,3,5
random,random,96,true,88,17,14,5,3
random,random,97,true,94,17,16,5,4
random,random,98,true,100,17,16,5,4
random,random,99,true,83,17,13,5,2
random,gaussian,0,false,93,16,17,4,5
random,gaussian,1,true,94,17,16,5,4
random,gaussian,2,true,100,17,16,5,4
random,gaussian,3,false,94,16,17,4,5
random,gaussian,4,true,98,17,16,5,4
random,gaussian,5,true,84,17,14,5,2
random,gaussian,6,false,93,16,17,4,5
random,gaussian,7,false,93,16,17,4,5
random,gaussian,8,true,87,17,14,5,3
random,gaussian,9,false,90,13,17,1,5
random,gaussian,10,false,96,16,17,4,5
random,gaussian,11,false,87,15,17,3,5
random,gaussian,12,true,99,17,16,5,4
random,gaussian,13,true,97,17,16,5,4
random,gaussian,14,false,96,16,17,4,5
random,gaussian,15,true,85,17,13,5,2
random,gaussian,16,true,92,17,16,5,4
random,gaussian,17,true,95,17,16,5,4
random,gaussian,18,true,87,17,14,5,2
random,gaussian,19,false,82,14,17,2,5
random,gaussian,20,true,94,17,15,5,3
random,gaussian,21,true,95,17,16,5,4
random,gaussian,22,true,94,17,15,5,3
random,gaussian,23,true,96,17,16,5,4
random,gaussian,24,false,87,12,17,1,5
random,gaussian,25,false,93,16,17,4,5
random,gaussian,26,true,97,17,14,5,2
random,gaussian,27,false,91,16,17,4,5
random,gaussian,28,false,91,15,17,3,5
random,gaussian,29,true,99,17,16,5,4
