iter,turns,policy,value,entropy,time
1,50.7,0.0555,0.7135,0.0783,112.49
2,45.8,0.1046,0.9933,0.0824,101.0
3,43.1,0.0898,0.9668,0.09,100.06
4,48.6,0.1321,0.8324,0.1129,116.91
5,47.6,0.0586,0.9581,0.0969,120.03
6,42.2,0.0616,1.1692,0.0823,94.04
7,49.3,0.061,0.7836,0.1217,120.26
8,47.2,0.0428,1.1241,0.1107,110.68
9,49.1,0.0373,0.6862,0.098,117.8
10,45.1,0.1167,0.9589,0.1054,105.18
11,48.9,0.0587,0.8859,0.1122,112.99
12,45.1,0.0628,0.8339,0.1031,111.93
13,47.9,0.0722,0.9751,0.0935,119.37
14,46.8,0.0683,0.9384,0.094,115.12
15,47.1,0.1243,0.8863,0.0885,115.88
16,47.8,0.0425,0.8549,0.1497,120.51
17,45.0,0.0868,0.926,0.1104,107.22
18,49.0,0.0473,0.7592,0.1169,119.27
19,45.9,0.1417,0.7928,0.1196,112.64
20,47.8,0.0634,0.9928,0.1035,116.01
21,46.2,0.0633,0.7323,0.1168,113.06
22,47.4,0.0391,0.836,0.1046,116.14
23,46.8,0.0533,0.9868,0.1141,111.98
24,52.1,0.0404,0.6752,0.1242,121.98
25,44.4,0.044,0.9574,0.1027,108.84
26,49.1,0.0513,0.7671,0.103,119.67
27,45.4,0.0863,0.8687,0.1211,105.07
28,48.5,0.0802,0.6613,0.1137,114.05
29,44.2,0.0558,1.1111,0.1077,102.37
30,46.8,0.0687,0.9163,0.1004,110.58
31,49.6,0.0623,0.6848,0.1232,114.8
32,46.2,0.0618,0.7251,0.1255,114.56
33,48.0,0.0698,0.8482,0.1196,110.84
34,47.5,0.0923,0.8481,0.1223,107.46
35,49.1,0.096,0.6268,0.1078,111.93
36,45.9,0.0506,0.9096,0.1542,111.31
37,45.0,0.0585,0.9458,0.1253,111.06
38,49.2,0.0744,0.6562,0.1448,120.58
39,46.8,0.0623,0.8329,0.1373,105.85
40,46.2,0.0584,0.802,0.1197,112.14
41,43.5,0.0807,0.7716,0.1239,97.48
42,50.5,0.0743,0.5882,0.1366,117.35
43,49.3,0.0073,0.6593,0.1636,120.85
44,44.7,0.0747,0.7577,0.181,104.32
45,50.0,0.0473,0.6606,0.1512,115.67
46,48.4,0.0748,0.6041,0.204,108.37
47,44.7,0.0878,0.8824,0.1742,103.94
48,50.5,0.0808,0.7294,0.1784,110.34
49,46.7,0.0759,0.8468,0.1782,108.09
50,46.9,0.0805,1.1779,0.1944,116.72
51,47.4,0.0549,0.9075,0.1953,114.63
52,44.2,0.0415,0.9741,0.1972,103.89
53,42.8,0.0531,0.8216,0.2164,99.6
54,46.4,0.0604,0.9086,0.2201,118.39
55,45.8,0.0672,0.766,0.2461,110.56
56,47.7,0.0702,0.8544,0.2361,109.98
57,49.4,0.0075,0.7312,0.2757,113.03
58,48.7,0.1004,0.7655,0.2733,111.06
59,47.4,0.0593,0.7965,0.2864,106.0
60,48.5,0.1162,0.5638,0.2955,105.39
61,47.9,0.0645,0.7308,0.2891,111.26
62,46.7,0.0652,0.6726,0.2954,113.92
63,46.0,0.0581,0.7496,0.2897,106.12
64,44.8,0.0616,0.8573,0.3062,100.34
65,49.2,0.0722,0.6052,0.303,109.5
66,44.1,0.0566,1.0192,0.3227,99.8
67,47.5,0.0566,0.8272,0.3327,130.85
68,43.4,0.0447,0.8427,0.305,94.64
69,49.3,-0.0016,0.5509,0.3656,114.91
70,46.6,0.0485,0.7738,0.3699,114.78
71,48.8,0.0783,0.7819,0.392,111.8
72,42.7,0.0538,0.9174,0.3922,97.52
73,46.4,0.0599,0.8322,0.4246,103.86
74,47.4,0.0594,0.707,0.4336,117.32
75,48.0,0.0466,0.8862,0.429,119.04
76,46.5,0.0798,0.8368,0.4347,112.04
77,49.2,0.0696,0.716,0.491,114.42
78,44.8,0.0493,0.8361,0.4406,102.48
79,42.7,0.0694,0.8384,0.4596,97.11
80,44.0,0.0561,0.8801,0.4498,101.39
81,47.2,0.0621,0.7345,0.5153,112.09
82,48.8,0.1611,0.669,0.4873,113.61
83,44.1,0.0495,0.766,0.4692,104.16
84,51.1,0.1002,0.5066,0.4376,120.82
85,45.3,0.0508,0.7731,0.4572,111.92
86,44.1,0.0525,0.8086,0.4238,105.71
87,48.5,0.0257,0.6461,0.5372,116.51
88,46.3,0.047,0.7503,0.5124,108.45
89,45.5,0.0363,0.8609,0.6067,99.76
90,48.4,0.0254,0.6975,0.6698,107.11
91,48.5,-0.0049,0.9558,0.6689,115.01
92,50.9,0.0709,0.818,0.7034,121.84
93,46.5,0.0356,1.0325,0.6924,115.12
94,48.5,0.045,0.7304,0.625,105.07
95,45.8,0.0442,0.9279,0.6747,101.79
96,49.6,0.0102,0.7645,0.7188,118.5
97,47.4,0.046,0.8802,0.692,116.55
98,45.7,0.0492,0.7617,0.709,109.66
99,43.4,0.041,0.9808,0.7353,95.3
100,48.2,0.0673,0.8403,0.7823,106.42
