step,loss,acc,episodes,time
1,4.5838,0.0,0,0.0
1000,1.8563,52.4,21,15.2
2000,2.214,47.1,43,16.0
3000,4.3377,1.5,64,15.5
4000,4.2941,3.6,86,15.5
5000,4.4159,2.8,109,15.5
6000,4.438,1.8,133,15.6
7000,4.4216,1.2,153,15.4
8000,4.4997,1.2,175,15.4
9000,3.5895,17.4,198,15.4
10000,2.2503,44.6,219,15.5
11000,1.7376,51.5,242,15.6
12000,1.4578,60.3,263,15.6
13000,1.4965,60.4,283,15.5
14000,1.3101,67.5,304,15.5
15000,1.4009,67.5,325,15.6
16000,1.4058,66.4,346,15.5
17000,1.3156,68.5,366,15.6
18000,1.3257,71.2,385,15.5
19000,1.3898,68.8,406,15.6
20000,1.1293,73.9,427,15.6
21000,1.2458,71.4,449,15.5
22000,1.0817,73.4,473,15.7
23000,1.3334,72.2,496,15.1
24000,1.3275,73.8,517,15.2
25000,1.3217,74.7,538,15.3
26000,1.1421,78.5,560,15.4
27000,1.0002,76.3,581,15.5
28000,1.3996,75.9,603,15.5
29000,1.0979,78.3,624,15.6
30000,1.2499,76.7,647,15.5
31000,1.0016,76.4,669,15.6
32000,1.0514,79.0,691,15.5
33000,1.0112,75.8,713,15.5
34000,1.4758,76.7,735,15.5
35000,1.0801,78.0,756,15.6
36000,1.095,78.0,779,15.6
37000,1.0637,77.5,801,15.6
38000,1.1665,74.2,823,15.6
39000,1.0535,75.9,845,15.6
40000,0.9458,78.5,866,15.6
41000,1.0039,78.2,887,15.5
42000,0.9359,76.9,909,15.4
43000,0.8929,82.0,932,15.5
44000,0.8714,82.4,954,15.4
45000,1.0168,79.6,976,15.3
46000,0.9818,82.6,997,15.4
47000,0.9371,80.1,1017,15.3
48000,1.0845,80.7,1038,15.4
49000,0.9047,82.2,1059,17.0
50000,0.9885,81.4,1081,17.9
51000,1.0208,83.0,1103,18.0
52000,0.9275,82.5,1123,18.0
53000,0.8585,81.6,1144,17.9
54000,0.8655,83.5,1166,18.0
55000,0.7831,82.9,1187,18.0
56000,0.8889,83.5,1207,18.0
57000,0.8656,83.1,1227,18.0
58000,1.0121,82.0,1250,18.1
59000,0.9099,83.0,1272,18.1
60000,0.8011,82.3,1293,18.1
61000,0.8051,84.2,1315,16.9
62000,0.7647,85.1,1335,15.7
63000,0.829,85.9,1357,15.7
64000,0.7941,84.8,1379,15.8
65000,0.6308,86.8,1402,15.7
66000,1.083,82.3,1423,15.7
67000,0.7426,85.4,1444,15.6
68000,0.7062,84.3,1467,15.7
69000,0.6974,85.6,1489,15.7
70000,0.9067,83.7,1509,15.7
71000,0.742,85.1,1530,15.7
72000,1.0035,83.1,1551,17.5
73000,0.651,85.2,1573,18.4
74000,0.8829,84.9,1596,18.0
75000,0.8071,84.8,1618,18.5
76000,0.6733,86.2,1637,18.2
77000,0.5315,89.9,1657,18.6
78000,0.826,86.3,1680,16.0
79000,0.747,87.0,1701,16.5
80000,0.6903,86.7,1723,16.2
81000,0.6038,88.2,1745,16.4
82000,0.6785,88.0,1766,15.9
83000,0.6451,89.1,1788,15.5
84000,0.6131,88.4,1811,15.9
85000,0.7874,87.3,1832,18.6
86000,0.6822,86.9,1857,18.3
87000,0.6518,86.9,1877,18.2
88000,0.5604,88.7,1898,18.8
89000,0.7189,88.4,1919,18.3
90000,0.5143,90.2,1941,17.9
91000,0.6553,88.5,1961,18.1
92000,0.6608,87.0,1983,18.2
93000,0.6517,87.6,2004,20.3
94000,0.5975,89.6,2026,21.1
95000,0.6386,89.4,2047,21.2
96000,0.6366,87.5,2067,20.7
97000,0.6022,88.4,2088,18.6
98000,0.4933,89.3,2111,20.9
99000,0.6456,86.3,2134,21.1
100000,0.5797,87.5,2155,19.0
