game,agent_won,player_won,agent_sunk,player_sunk,agent_hit,player_hit,turns
1,false,false,5,4,17,14,80
2,false,true,4,5,15,17,86
3,false,false,5,2,17,9,66
4,false,false,5,3,17,10,42
5,false,false,5,4,17,16,74
6,false,true,4,5,14,17,104
7,false,false,5,3,17,10,61
8,false,true,4,5,12,17,86
9,false,true,4,5,14,17,70
10,false,false,5,4,17,15,74
11,false,false,5,4,17,15,82
12,false,true,3,5,12,17,72
13,false,false,5,4,17,14,79
14,false,true,3,5,11,17,83
15,false,true,3,5,12,17,83
16,false,false,5,3,17,13,83
17,false,true,1,5,5,17,57
18,false,true,4,5,14,17,75
19,false,false,5,3,17,12,72
20,false,false,5,3,17,12,57
21,false,true,4,5,15,17,92
22,false,true,4,5,14,17,111
23,false,false,5,4,17,15,114
24,false,false,5,4,17,16,90
25,false,false,5,3,17,12,67
26,false,true,4,5,14,17,84
27,false,true,4,5,14,17,90
28,false,false,5,3,17,12,56
29,false,false,5,3,17,12,88
30,false,true,4,5,16,17,83
31,false,true,3,5,12,17,93
32,false,true,4,5,14,17,69
33,false,false,5,3,17,10,41
34,false,true,1,5,5,17,49
35,false,false,5,2,17,8,63
36,false,false,5,4,17,14,81
37,false,false,5,3,17,13,69
38,false,true,4,5,14,17,47
39,false,false,5,2,17,9,60
40,false,false,5,4,17,15,104
41,false,true,4,5,15,17,82
42,false,true,4,5,14,17,72
43,false,true,3,5,14,17,75
44,false,true,4,5,13,17,74
45,false,false,5,2,17,8,53
46,false,true,4,5,13,17,87
47,false,false,5,4,17,15,91
48,false,false,5,4,17,15,108
49,false,false,5,4,17,14,97
50,false,true,4,5,14,17,67
51,false,false,5,3,17,12,94
52,false,true,4,5,14,17,70
53,false,false,5,4,17,15,106
54,false,false,5,3,17,10,64
55,false,false,5,4,17,15,71
56,false,true,4,5,15,17,124
57,false,true,4,5,13,17,77
58,false,true,4,5,13,17,82
59,false,true,3,5,12,17,79
60,false,true,2,5,8,17,65
61,false,false,5,4,17,16,123
62,false,true,4,5,15,17,92
63,false,true,3,5,11,17,94
64,false,true,4,5,15,17,105
65,false,true,4,5,13,17,74
66,false,true,3,5,12,17,53
67,false,true,4,5,15,17,69
68,false,false,5,1,17,8,46
69,false,true,4,5,13,17,88
70,false,true,3,5,13,17,73
71,false,false,5,4,17,15,84
72,false,false,5,3,17,14,72
73,false,true,4,5,15,17,116
74,false,true,4,5,14,17,86
75,false,true,3,5,12,17,56
76,false,false,5,4,17,15,77
77,false,true,4,5,15,17,100
78,false,true,3,5,13,17,83
79,false,false,5,3,17,12,79
80,false,true,4,5,15,17,112
81,false,true,4,5,15,17,96
82,false,true,4,5,15,17,102
83,false,true,4,5,15,17,89
84,false,true,2,5,9,17,49
85,false,false,5,3,17,13,66
86,false,true,4,5,15,17,97
87,false,true,4,5,14,17,106
88,false,true,2,5,11,17,87
89,false,true,4,5,12,17,78
90,false,false,5,4,17,15,73
91,false,false,5,2,17,9,55
92,false,true,4,5,14,17,81
93,false,false,5,1,17,6,61
94,false,false,5,1,17,5,51
95,false,true,3,5,12,17,51
96,false,true,3,5,12,17,87
97,false,true,3,5,12,17,59
98,false,false,5,4,17,15,61
99,false,false,5,4,17,14,89
100,false,false,5,4,17,16,90
101,false,true,4,5,15,17,89
102,false,true,2,5,8,17,52
103,false,true,4,5,15,17,133
104,false,false,5,3,17,11,59
105,false,false,5,2,17,14,53
106,false,false,5,4,17,15,120
107,false,false,5,3,17,12,78
108,false,false,5,3,17,15,49
109,false,false,5,4,17,14,74
110,false,false,5,3,17,12,84
111,false,true,3,5,14,17,104
112,false,false,5,4,17,14,64
113,false,false,5,2,17,11,45
114,false,false,5,2,17,11,59
115,false,true,2,5,9,17,51
116,false,true,4,5,15,17,97
117,false,true,3,5,14,17,92
118,false,false,5,3,17,13,71
119,false,false,5,3,17,12,67
120,false,false,5,4,17,14,68
121,false,false,5,3,17,12,72
122,false,false,5,3,17,11,52
123,false,true,2,5,10,17,61
124,false,false,5,4,17,15,83
125,false,false,5,1,17,5,50
126,false,false,5,4,17,14,80
127,false,true,2,5,8,17,64
128,false,true,4,5,15,17,86
129,false,true,4,5,15,17,98
130,false,true,4,5,14,17,72
131,false,true,3,5,12,17,99
132,false,true,4,5,15,17,85
133,false,true,3,5,12,17,81
134,false,false,5,3,17,12,69
135,false,false,5,2,17,9,56
136,false,false,5,4,17,14,57
137,false,false,5,4,17,13,67
138,false,false,5,4,17,14,88
139,false,false,5,4,17,16,126
140,false,false,5,3,17,12,56
141,false,true,4,5,16,17,95
142,false,false,5,4,17,15,107
143,false,true,4,5,14,17,74
144,false,false,5,3,17,13,52
145,false,true,3,5,11,17,77
146,false,false,5,3,17,12,90
147,false,true,3,5,12,17,88
148,false,true,3,5,12,17,89
149,false,true,4,5,16,17,102
150,false,false,5,2,17,11,65
151,false,true,4,5,14,17,94
152,false,true,4,5,15,17,110
153,false,false,5,4,17,15,65
154,false,false,5,3,17,12,74
155,false,true,3,5,13,17,82
156,false,true,4,5,14,17,97
157,false,true,3,5,11,17,60
158,false,false,5,3,17,12,72
159,false,true,4,5,15,17,77
160,false,false,5,4,17,15,83
161,false,false,5,4,17,16,103
162,false,true,3,5,11,17,90
163,false,false,5,2,17,8,51
164,false,false,5,3,17,10,65
165,false,false,5,4,17,14,87
166,false,true,4,5,14,17,118
167,false,true,4,5,14,17,108
168,false,true,4,5,15,17,93
169,false,true,4,5,16,17,72
170,false,true,4,5,16,17,100
171,false,false,5,4,17,14,70
172,false,false,5,4,17,16,93
173,false,false,5,4,17,15,76
174,false,true,3,5,11,17,93
175,false,true,4,5,14,17,84
176,false,true,2,5,8,17,60
177,false,true,2,5,8,17,61
178,false,false,5,4,17,14,84
179,false,false,5,4,17,14,83
180,false,true,2,5,6,17,50
181,false,true,3,5,12,17,87
182,false,true,4,5,16,17,86
183,false,false,5,4,17,15,84
184,false,false,5,3,17,11,57
185,false,false,5,3,17,12,65
186,false,false,5,3,17,12,75
187,false,false,5,1,17,6,48
188,false,true,4,5,15,17,125
189,false,true,2,5,9,17,55
190,false,true,3,5,12,17,73
191,false,false,5,4,17,14,78
192,false,false,5,4,17,15,90
193,false,false,5,3,17,12,78
194,false,true,4,5,15,17,76
195,false,true,3,5,13,17,87
196,false,false,5,4,17,15,86
197,false,true,3,5,11,17,80
198,false,false,5,4,17,12,55
199,false,false,5,4,17,15,100
200,false,true,4,5,16,17,89
201,false,false,5,4,17,15,102
202,false,false,5,3,17,13,71
203,false,true,4,5,14,17,83
204,false,false,5,4,17,14,109
205,false,true,4,5,14,17,89
206,false,true,4,5,14,17,53
207,false,false,5,4,17,15,98
208,false,false,5,4,17,15,57
209,false,false,5,4,17,14,91
210,false,false,5,4,17,15,94
211,false,false,5,3,17,12,64
212,false,true,4,5,14,17,98
213,false,false,5,4,17,15,96
214,false,false,5,1,17,6,53
215,false,true,4,5,14,17,65
216,false,true,3,5,13,17,49
217,false,true,4,5,16,17,75
218,false,true,4,5,15,17,81
219,false,true,4,5,14,17,88
220,false,false,5,4,17,16,100
221,false,false,5,2,17,9,62
222,false,true,3,5,14,17,91
223,false,true,3,5,13,17,65
224,false,false,5,4,17,15,110
225,false,false,5,4,17,15,92
226,false,true,4,5,16,17,99
227,false,false,5,1,17,7,46
228,false,false,5,4,17,14,81
229,false,true,4,5,15,17,81
230,false,true,3,5,13,17,57
231,false,true,3,5,12,17,85
232,false,true,3,5,11,17,70
233,false,true,4,5,14,17,88
234,false,false,5,3,17,11,63
235,false,true,4,5,14,17,122
236,false,true,4,5,14,17,105
237,false,true,4,5,14,17,70
238,false,false,5,4,17,15,88
239,false,true,2,5,10,17,69
240,false,false,5,4,17,15,67
241,false,true,4,5,14,17,116
242,false,false,5,4,17,14,65
243,false,true,4,5,16,17,101
244,false,true,4,5,13,17,94
245,false,false,5,4,17,14,66
246,false,true,4,5,14,17,62
247,false,false,5,3,17,14,73
248,false,true,4,5,15,17,93
249,false,true,2,5,9,17,49
250,false,true,4,5,13,17,63
251,false,false,5,4,17,15,86
252,false,true,2,5,12,17,79
253,false,false,5,4,17,14,66
254,false,true,4,5,15,17,88
255,false,false,5,2,17,10,67
256,false,true,4,5,15,17,93
257,false,false,5,3,17,12,79
258,false,false,5,4,17,15,103
259,false,true,4,5,14,17,71
260,false,true,4,5,15,17,126
261,false,true,4,5,13,17,82
262,false,true,4,5,15,17,79
263,false,false,5,3,17,13,72
264,false,false,5,3,17,13,81
265,false,true,3,5,11,17,68
266,false,false,5,4,17,16,71
267,false,true,4,5,15,17,76
268,false,false,5,4,17,15,84
269,false,false,5,4,17,15,122
270,false,true,4,5,15,17,87
271,false,false,5,4,17,15,90
272,false,false,5,4,17,16,58
273,false,true,1,5,11,17,50
274,false,false,5,3,17,12,66
275,false,false,5,4,17,15,90
276,false,true,4,5,12,17,88
277,false,true,4,5,14,17,85
278,false,true,3,5,12,17,69
279,false,false,5,2,17,8,62
280,false,true,4,5,16,17,117
281,false,true,4,5,15,17,82
282,false,false,5,2,17,9,80
283,false,false,5,4,17,14,65
284,false,true,3,5,15,17,92
285,false,false,5,4,17,14,81
286,false,true,4,5,14,17,119
287,false,false,5,3,17,11,78
288,false,true,4,5,16,17,83
289,false,true,4,5,14,17,73
290,false,true,3,5,13,17,71
291,false,false,5,2,17,10,61
292,false,true,4,5,14,17,89
293,false,false,5,4,17,14,93
294,false,true,4,5,15,17,118
295,false,false,5,1,17,8,45
296,false,true,3,5,12,17,89
297,false,false,5,3,17,12,82
298,false,false,5,4,17,14,89
299,false,false,5,1,17,5,56
300,false,false,5,4,17,15,79
301,false,true,4,5,15,17,89
302,false,false,5,3,17,12,85
303,false,false,5,3,17,12,58
304,false,true,4,5,14,17,84
305,false,true,3,5,12,17,54
306,false,false,5,4,17,14,77
307,false,false,5,2,17,8,51
308,false,false,5,4,17,14,84
309,false,false,5,4,17,12,70
310,false,true,4,5,14,17,91
311,false,false,5,3,17,12,81
312,false,false,5,1,17,2,44
313,false,true,4,5,15,17,83
314,false,true,3,5,11,17,92
315,false,true,4,5,14,17,99
316,false,true,4,5,14,17,81
317,false,false,5,4,17,16,93
318,false,false,5,4,17,15,88
319,false,true,4,5,16,17,95
320,false,true,4,5,15,17,105
321,false,true,4,5,14,17,81
322,false,true,4,5,16,17,103
323,false,true,3,5,10,17,63
324,false,true,3,5,11,17,51
325,false,true,4,5,14,17,74
326,false,false,5,4,17,15,98
327,false,false,5,3,17,12,46
328,false,true,4,5,15,17,87
329,false,true,2,5,11,17,58
330,false,false,5,4,17,15,96
331,false,false,5,4,17,15,64
332,false,true,4,5,15,17,63
333,false,true,3,5,12,17,96
334,false,true,4,5,15,17,135
335,false,true,4,5,15,17,60
336,false,true,4,5,14,17,81
337,false,false,5,3,17,13,56
338,false,true,4,5,12,17,60
339,false,true,4,5,15,17,60
340,false,false,5,1,17,5,52
341,false,false,5,4,17,15,107
342,false,false,5,4,17,15,89
343,false,true,3,5,13,17,79
344,false,false,5,4,17,15,63
345,false,true,3,5,12,17,58
346,false,false,5,4,17,14,77
347,false,true,3,5,11,17,82
348,false,true,2,5,8,17,56
349,false,true,2,5,9,17,51
350,false,false,5,3,17,12,67
351,false,true,4,5,16,17,72
352,false,false,5,4,17,14,76
353,false,true,3,5,12,17,84
354,false,true,2,5,11,17,50
355,false,true,4,5,14,17,77
356,false,true,3,5,9,17,57
357,false,true,3,5,12,17,68
358,false,false,5,4,17,15,87
359,false,true,4,5,15,17,72
360,false,true,4,5,15,17,84
361,false,false,5,3,17,12,75
362,false,true,3,5,12,17,63
363,false,false,5,4,17,14,67
364,false,false,5,4,17,15,103
365,false,false,5,4,17,15,53
366,false,false,5,4,17,14,82
367,false,false,5,3,17,12,79
368,false,false,5,4,17,15,91
369,false,false,5,3,17,11,72
370,false,false,5,4,17,15,72
371,false,false,5,4,17,15,104
372,false,true,4,5,15,17,96
373,false,false,5,4,17,15,108
374,false,true,4,5,12,17,84
375,false,false,5,4,17,16,69
376,false,true,3,5,11,17,77
377,false,false,5,4,17,15,87
378,false,false,5,3,17,11,65
379,false,false,5,4,17,15,91
380,false,true,2,5,9,17,63
381,false,true,4,5,16,17,120
382,false,false,5,4,17,14,104
383,false,false,5,4,17,15,106
384,false,true,4,5,15,17,77
385,false,true,4,5,16,17,91
386,false,false,5,4,17,15,84
387,false,true,3,5,13,17,90
388,false,false,5,2,17,11,73
389,false,false,5,4,17,14,78
390,false,false,5,3,17,14,66
391,false,false,5,4,17,14,101
392,false,true,3,5,13,17,59
393,false,false,5,3,17,13,74
394,false,false,5,1,17,7,58
395,false,true,3,5,12,17,68
396,false,true,4,5,15,17,116
397,false,false,5,4,17,15,69
398,false,false,5,3,17,12,56
399,false,false,5,3,17,12,65
400,false,true,4,5,14,17,66
401,false,true,3,5,12,17,69
402,false,false,5,3,17,14,75
403,false,false,5,4,17,14,79
404,false,false,5,4,17,15,100
405,false,true,3,5,12,17,90
406,false,true,3,5,12,17,56
407,false,false,5,4,17,14,69
408,false,true,4,5,15,17,110
409,false,false,5,3,17,13,79
410,false,true,4,5,14,17,79
411,false,false,5,3,17,14,81
412,false,true,4,5,15,17,85
413,false,false,5,3,17,12,95
414,false,false,5,4,17,15,115
415,false,false,5,3,17,11,71
416,false,true,3,5,12,17,102
417,false,true,2,5,10,17,72
418,false,false,5,4,17,15,101
419,false,false,5,4,17,14,75
420,false,false,5,4,17,14,93
421,false,false,5,3,17,12,52
422,false,false,5,4,17,14,58
423,false,false,5,4,17,15,99
424,false,false,5,3,17,12,101
425,false,false,5,4,17,15,115
426,false,false,5,4,17,15,76
427,false,true,4,5,12,17,73
428,false,true,4,5,15,17,63
429,false,true,4,5,15,17,76
