episode,epsilon,steps,mean_turns
100,0.297,7141,65.9
200,0.2941,13200,63.4
300,0.2911,19245,61.6
400,0.2882,25140,58.1
500,0.2854,30828,55.8
600,0.2825,36370,58.0
700,0.2797,42005,59.9
800,0.2769,47557,52.5
900,0.2742,53236,54.1
1000,0.2714,58716,52.0
1100,0.2687,64091,53.6
1200,0.2661,69177,48.3
1300,0.2634,74312,48.9
1400,0.2608,79494,47.1
1500,0.2582,84610,47.6
1600,0.2556,89625,49.3
1700,0.2531,94824,47.3
1800,0.2506,100020,47.8
1900,0.2481,105044,49.0
2000,0.2456,110117,50.3
2100,0.2432,115266,46.1
2200,0.2408,120361,47.4
2300,0.2384,125393,48.7
2400,0.236,130362,46.1
2500,0.2336,135394,46.1
2600,0.2313,140536,48.9
2700,0.229,145473,45.9
2800,0.2267,150520,45.2
2900,0.2245,155503,45.5
3000,0.2222,160474,47.2
3100,0.22,165550,46.9
3200,0.2178,170497,45.4
3300,0.2157,175409,46.6
3400,0.2135,180372,50.3
