iter,turns,policy,value,entropy,time
1,48.5,0.1002,0.552,0.0432,92.03
2,47.5,0.0379,0.485,0.039,97.06
3,47.3,0.0554,0.5318,0.0444,91.21
4,46.5,0.0489,0.5255,0.0467,88.98
5,48.0,0.1067,0.5204,0.0545,91.93
6,47.1,0.0905,0.554,0.0505,86.96
7,45.4,0.0348,0.5516,0.0466,87.06
8,47.8,0.0732,0.4876,0.0444,94.44
9,46.5,0.0395,0.463,0.0421,89.98
10,48.3,0.152,0.5149,0.0436,92.02
11,44.8,0.0265,0.5703,0.0414,87.86
12,47.0,0.0308,0.4831,0.0432,85.93
13,47.1,0.232,0.5363,0.0505,89.24
14,46.3,0.037,0.5063,0.0515,84.09
15,44.2,0.03,0.5321,0.0475,82.33
16,47.3,0.1062,0.472,0.0531,89.9
17,49.5,0.0318,0.4516,0.0464,92.78
18,46.3,0.0698,0.5191,0.0469,93.23
19,47.9,0.0456,0.528,0.0556,89.58
20,45.5,0.1936,0.5008,0.0546,86.72
21,45.8,0.0681,0.5709,0.043,86.41
22,45.7,0.0425,0.4675,0.0504,87.42
23,46.7,0.0662,0.506,0.0518,89.47
24,46.4,0.0964,0.5604,0.0418,87.34
25,46.5,0.0466,0.5217,0.0525,86.51
26,46.3,0.044,0.4763,0.0493,90.08
27,48.7,8.1148,0.5214,0.0484,94.2
28,46.4,0.1145,0.5819,0.0509,91.26
29,48.3,0.0114,0.5482,0.0407,95.65
30,46.0,0.0409,0.4828,0.047,89.37
31,44.7,0.0594,0.5412,0.0477,85.41
32,46.2,0.0433,0.5071,0.0503,91.72
33,48.1,0.0298,0.4949,0.0417,89.36
34,47.6,0.074,0.5124,0.048,93.54
35,43.8,0.1936,0.5596,0.0468,85.62
36,46.0,0.0477,0.523,0.0499,88.91
37,45.4,0.0733,0.4527,0.0462,88.12
38,46.8,0.0306,0.4658,0.0481,86.14
39,47.7,0.0388,0.5494,0.0427,90.23
40,46.9,0.0399,0.562,0.053,90.44
41,47.7,0.1084,0.4145,0.0477,92.81
42,46.7,0.0856,0.558,0.0435,87.88
43,48.0,-0.0367,0.5836,0.0452,92.75
44,47.1,0.0393,0.5233,0.0511,87.45
45,48.2,0.0379,0.5407,0.0448,91.75
46,46.0,0.0283,0.4587,0.0463,85.65
47,46.8,0.0635,0.538,0.0568,90.27
48,44.8,0.0782,0.6053,0.0506,85.65
49,46.8,0.0693,0.512,0.0523,90.56
50,47.1,0.0352,0.5042,0.0482,92.69
51,45.4,0.1256,0.5759,0.0513,85.9
52,45.5,0.0474,0.5373,0.0476,88.41
53,45.4,0.0477,0.5247,0.0491,83.96
54,47.4,0.0683,0.566,0.0483,92.38
55,45.4,0.0458,0.5576,0.0476,87.18
56,46.5,0.038,0.4729,0.0496,85.65
57,44.8,0.0777,0.5102,0.0498,83.35
58,47.1,0.032,0.5399,0.0477,89.06
59,46.8,0.0422,0.5026,0.0474,89.73
60,46.2,0.0444,0.5254,0.052,89.04
61,46.3,13.644,0.5406,0.0422,85.93
62,46.4,0.052,0.5593,0.0524,88.07
63,47.2,0.0695,0.5797,0.045,87.66
64,47.6,0.035,0.5028,0.0497,89.49
65,45.5,0.0299,0.5008,0.0532,89.18
66,47.3,0.0412,0.558,0.0428,93.84
67,46.2,0.1393,0.5777,0.0436,90.11
68,44.1,0.0371,0.5734,0.0476,84.03
69,47.7,0.0338,0.5023,0.0455,106.51
70,45.0,0.0383,0.5631,0.053,90.94
71,44.3,0.0452,0.6138,0.0521,92.74
72,47.7,0.147,0.5217,0.0549,99.39
73,47.5,0.0391,0.5757,0.0498,98.2
74,44.7,0.1401,0.4955,0.0552,88.37
75,45.1,0.0315,0.5031,0.0453,91.08
76,48.7,0.0559,0.5395,0.0461,93.77
77,47.0,0.07,0.5231,0.0479,94.54
78,46.0,0.0566,0.6228,0.0494,83.47
79,45.6,0.0324,0.4713,0.0455,83.72
80,49.1,0.0696,0.4538,0.0476,91.01
81,44.8,0.051,0.5969,0.0513,83.81
82,46.0,0.0393,0.5201,0.0468,84.76
83,46.0,0.0807,0.5699,0.0532,93.58
84,42.9,0.0805,0.4739,0.0509,84.1
85,47.9,0.0674,0.5865,0.0487,95.04
86,46.4,0.2714,0.5295,0.0481,91.19
87,47.7,0.059,0.4967,0.0515,96.2
88,45.6,0.0318,0.4598,0.0506,91.65
89,45.8,0.031,0.5441,0.0492,83.94
90,46.0,0.0437,0.5615,0.0532,89.66
91,45.7,0.046,0.4994,0.0498,82.62
92,47.1,0.0535,0.5342,0.0511,87.9
93,45.5,0.0309,0.54,0.0468,89.79
94,47.1,1.0828,0.5157,0.0508,91.4
95,47.9,0.0828,0.3822,0.0536,91.32
96,48.6,0.0172,0.5272,0.0511,89.34
97,45.5,0.0338,0.4099,0.0457,88.86
98,48.5,0.0595,0.4948,0.0487,87.4
99,44.3,0.0554,0.4843,0.0493,88.24
100,48.3,0.0256,0.4849,0.0533,97.06
101,48.1,-0.0292,0.5595,0.0591,93.42
102,44.0,0.0506,0.4813,0.0517,87.8
103,47.6,0.0356,0.5393,0.0481,90.71
104,47.0,0.0425,0.557,0.0587,89.11
105,45.1,0.0754,0.5931,0.0473,85.45
106,47.5,0.0707,0.5414,0.052,88.98
107,45.0,0.0363,0.5332,0.0525,88.88
108,47.4,0.0495,0.5067,0.0459,100.11
109,47.0,0.1362,0.4854,0.0547,93.35
110,46.1,0.0563,0.5388,0.0568,90.18
111,46.6,0.0422,0.5448,0.0464,91.86
112,47.0,0.0632,0.4351,0.0492,87.86
113,47.3,0.0508,0.4974,0.0486,92.93
114,49.4,0.0685,0.4729,0.0568,94.36
115,45.7,0.0429,0.5152,0.0564,100.12
116,46.6,0.0564,0.5656,0.057,91.87
117,48.4,0.0153,0.5353,0.051,94.88
118,46.8,0.0466,0.5212,0.06,100.49
119,47.3,0.0689,0.5615,0.0551,88.34
120,47.0,0.0419,0.5209,0.0533,89.82
121,45.7,0.0556,0.544,0.0589,84.23
122,46.2,0.163,0.5428,0.0547,88.4
123,47.3,0.0492,0.5109,0.0526,95.02
124,45.7,0.0917,0.5239,0.0571,89.78
125,45.4,0.0568,0.5013,0.0665,82.76
126,47.6,0.0439,0.5336,0.056,88.56
127,43.3,0.0419,0.5702,0.053,83.21
128,45.9,0.0497,0.5673,0.056,86.03
129,45.7,0.0466,0.5845,0.0545,86.61
130,49.5,0.1591,0.5031,0.0556,98.68
131,45.4,0.073,0.4929,0.0572,102.51
132,47.6,0.0511,0.5584,0.0553,92.32
133,46.4,0.0504,0.5467,0.0593,88.73
134,45.5,0.1926,0.5457,0.0476,84.15
135,47.1,0.5963,0.4491,0.0529,88.65
136,47.5,0.0395,0.5836,0.0539,91.1
137,47.2,0.0503,0.5912,0.0629,89.95
138,47.0,0.0476,0.515,0.0525,92.3
139,47.5,0.0427,0.5162,0.0546,94.73
140,46.9,0.0474,0.592,0.0557,88.81
141,49.4,0.0502,0.5112,0.0546,94.77
142,45.4,0.0441,0.5029,0.056,89.91
143,48.3,0.0403,0.4944,0.0541,94.55
144,44.8,0.0405,0.5667,0.0637,87.04
145,49.1,0.0483,0.4312,0.0548,97.0
146,46.1,0.0264,0.5666,0.055,84.16
147,47.7,0.0547,0.5153,0.054,88.98
