iter,value,lr
5,0.6245,0.0000999
10,0.6536,0.0000997
15,0.5787,0.0000994
20,0.6037,0.0000989
25,0.5804,0.0000983
30,0.4945,0.0000976
35,0.5908,0.0000967
40,0.5284,0.0000957
45,0.5781,0.0000946
50,0.5156,0.0000934
55,0.4922,0.000092
60,0.5192,0.0000905
65,0.5096,0.000089
70,0.6219,0.0000873
75,0.5395,0.0000855
80,0.4784,0.0000836
85,0.5223,0.0000817
90,0.5381,0.0000796
95,0.5643,0.0000775
100,0.5028,0.0000752
105,0.5254,0.000073
110,0.5255,0.0000706
115,0.4725,0.0000682
120,0.4954,0.0000658
125,0.5241,0.0000633
130,0.5545,0.0000608
135,0.5077,0.0000582
140,0.458,0.0000557
145,0.5047,0.0000531
150,0.5292,0.0000505
155,0.5321,0.0000479
160,0.5604,0.0000453
165,0.5324,0.0000428
170,0.5185,0.0000402
175,0.5849,0.0000377
180,0.5272,0.0000352
185,0.5364,0.0000328
190,0.5497,0.0000304
195,0.4873,0.000028
200,0.5387,0.0000257
205,0.4515,0.0000235
210,0.5443,0.0000214
215,0.5528,0.0000193
220,0.5438,0.0000174
225,0.5051,0.0000155
230,0.4925,0.0000137
235,0.547,0.000012
240,0.5463,0.0000105
245,0.532,8.99e-6
250,0.5034,7.63e-6
255,0.5585,6.4e-6
260,0.5807,5.28e-6
265,0.5662,4.29e-6
270,0.5661,3.42e-6
275,0.5187,2.69e-6
280,0.4872,2.08e-6
285,0.4833,1.61e-6
290,0.5285,1.27e-6
295,0.4755,1.07e-6
300,0.5234,1e-6
