step,loss,acc,episodes,time
1,4.6508,0.0,0,0.1
1000,1.9606,51.6,21,15.6
2000,1.3671,60.6,41,15.6
3000,1.476,62.5,63,15.5
4000,1.6115,63.5,83,15.1
5000,2.01,61.6,105,15.2
6000,3.9356,23.9,127,16.6
7000,4.21,4.8,149,16.4
8000,4.3322,1.8,170,15.3
9000,4.2126,2.7,191,15.2
10000,4.3921,1.5,211,15.1
11000,2.869,33.1,233,15.2
12000,2.2536,43.0,253,15.1
13000,1.5943,59.4,276,15.2
14000,1.5066,60.6,298,15.2
15000,1.3218,64.9,321,15.2
16000,1.4959,66.8,341,15.2
17000,1.4438,66.6,365,17.2
18000,1.5406,65.2,387,17.1
19000,1.3444,65.2,407,16.0
20000,1.6443,67.5,429,15.2
21000,1.3676,70.2,449,16.4
22000,1.4082,70.6,470,16.9
23000,1.5481,69.6,490,17.1
24000,1.5543,66.0,511,15.8
25000,1.2688,72.5,533,16.9
26000,1.4661,70.4,554,15.2
27000,2.136,61.8,576,15.7
28000,1.4179,60.2,597,15.0
29000,1.1854,70.9,618,15.9
30000,1.1554,76.1,640,15.9
31000,1.1775,72.9,659,16.1
32000,1.2788,74.5,682,17.0
33000,1.3197,72.9,702,16.4
34000,1.2894,76.8,724,15.8
35000,1.2312,73.6,745,16.6
36000,1.2886,75.6,765,17.3
37000,1.3062,75.3,786,17.3
38000,1.3402,73.3,808,17.4
39000,1.3366,72.9,829,17.4
40000,1.1676,74.6,850,15.7
41000,1.2201,73.7,872,15.2
42000,1.1525,74.8,894,15.1
43000,1.1296,74.0,915,15.2
44000,1.1276,77.4,937,15.0
45000,1.1205,78.1,959,15.0
46000,1.1174,77.4,981,16.3
47000,1.2514,77.6,1002,17.3
48000,1.2333,73.8,1025,17.3
49000,1.202,76.1,1049,17.4
50000,1.1167,77.2,1071,17.4
51000,1.1732,77.6,1095,17.4
52000,1.0461,77.5,1117,17.4
53000,1.2063,73.6,1138,16.0
54000,1.1432,78.9,1159,14.9
55000,1.199,78.4,1181,14.8
56000,1.2091,77.6,1202,14.9
57000,1.0695,74.4,1224,14.9
58000,1.3819,75.6,1244,14.9
59000,1.0451,78.5,1267,15.0
60000,1.0837,76.5,1289,15.0
61000,1.2114,74.2,1312,15.1
62000,1.2364,77.9,1334,15.0
63000,1.0307,80.9,1357,15.0
64000,0.9774,79.7,1380,15.1
65000,0.9483,79.5,1402,15.1
66000,1.1308,79.6,1423,15.1
67000,1.1057,79.9,1446,16.5
68000,1.0695,78.8,1466,16.3
69000,1.0873,75.7,1487,15.3
70000,1.157,77.8,1509,15.1
71000,1.0014,82.2,1531,15.2
72000,1.0914,79.0,1553,15.2
73000,0.9878,79.3,1574,15.3
74000,0.9022,81.3,1597,15.3
75000,0.9375,82.1,1619,15.2
76000,0.9442,82.3,1641,15.2
77000,1.2466,77.4,1662,15.2
78000,1.0079,80.9,1684,15.2
79000,0.8679,80.8,1705,15.2
80000,1.0247,81.6,1725,15.2
81000,1.006,77.8,1748,15.2
82000,0.8905,82.5,1768,15.2
83000,0.9633,80.4,1789,15.3
84000,0.9204,81.3,1809,15.2
85000,0.9515,81.9,1829,15.3
86000,0.9076,82.7,1849,15.2
87000,0.994,80.4,1871,15.2
88000,0.9068,81.5,1893,15.2
89000,0.7904,86.1,1914,15.5
90000,1.0785,80.1,1937,15.4
91000,0.8178,82.9,1959,15.7
92000,0.9247,83.6,1979,15.8
93000,1.0148,78.2,2000,14.9
94000,0.9928,81.1,2023,14.9
95000,0.8729,81.0,2045,14.9
96000,0.9627,82.3,2067,14.9
97000,0.9852,83.6,2089,15.0
98000,0.7331,86.1,2109,15.0
99000,1.0072,81.9,2130,14.9
100000,0.9805,83.6,2151,14.9
101000,0.9172,82.2,2172,15.0
102000,0.7938,84.4,2195,14.9
103000,0.8616,83.9,2217,14.9
104000,0.8995,81.2,2239,14.9
105000,0.9081,81.0,2260,14.9
106000,0.9138,82.1,2282,14.9
107000,0.8889,83.8,2303,14.9
108000,0.9161,83.6,2324,15.0
109000,0.6961,86.5,2345,15.1
110000,0.9499,82.4,2366,15.0
111000,0.9362,81.2,2388,15.0
112000,0.7047,84.7,2409,15.0
113000,0.7688,84.3,2432,15.2
114000,0.7908,85.3,2454,14.9
115000,0.6932,85.4,2475,16.6
116000,0.7954,83.4,2494,17.3
117000,0.5815,89.0,2517,17.4
118000,0.8378,83.4,2538,17.3
119000,0.8756,84.8,2558,17.4
120000,0.7309,83.7,2581,17.4
121000,0.8139,82.6,2602,17.7
122000,0.8792,83.6,2623,17.3
123000,0.8054,82.2,2644,17.2
124000,0.7698,82.9,2663,17.3
125000,0.8657,84.6,2686,17.3
126000,0.9159,82.8,2709,17.3
127000,0.8328,84.4,2730,17.4
128000,0.82,83.2,2753,16.5
129000,0.8968,84.1,2776,15.4
130000,0.9002,82.4,2797,15.3
131000,0.8339,84.3,2817,15.4
132000,0.7921,83.6,2839,15.4
133000,0.8158,81.9,2860,15.3
134000,0.5957,88.3,2882,15.3
135000,0.8796,83.2,2906,15.4
136000,0.7842,83.7,2925,15.3
137000,0.7724,83.6,2946,15.3
138000,0.8185,84.6,2967,16.9
