episode,epsilon,steps,mean_turns
1000,0.9048,95014,95.8
2000,0.8187,190031,95.9
3000,0.7408,285132,94.6
4000,0.6703,380257,94.7
5000,0.6065,475096,95.1
6000,0.5488,570258,93.9
7000,0.4966,665113,96.0
8000,0.4493,759970,94.7
9000,0.4066,854690,94.8
10000,0.3679,949101,94.8
11000,0.3329,1043413,94.2
12000,0.3012,1138254,94.4
13000,0.2725,1232802,95.2
14000,0.2466,1327321,94.3
15000,0.2231,1421795,95.3
16000,0.2019,1515988,93.5
17000,0.1827,1610360,94.0
18000,0.1653,1704794,93.9
19000,0.1496,1799137,94.5
20000,0.1353,1893479,94.6
21000,0.1224,1988050,93.9
22000,0.1108,2082435,93.7
23000,0.1002,2175957,94.8
24000,0.0907,2270047,93.9
25000,0.0821,2363686,93.8
